premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Maritime Estate,Mornington Peninsula,www.maritime-estate.com.au,65 Tucks Road, Red Hill, Vic 3937                        Mornington Peninsula            VIC,0432 931 890,Not Available,Not,Contract,1988,800,4.55 hectares,
Marybrook Vineyards,Margaret River,,Vasse?Yallingup Road, Marybrook, WA 6280                        Margaret River            WA,(08) 9755 1143,Not Available,Fri?Mon 10?5, 7 days 10?5 school hols,Aub House,1986,NA,Not Available,
Lost Buoy Wines,McLaren Vale,www.lostbuoywines.com.au,c/- Evans and Ayers, PO Box 460, Adelaide, SA 5001                        McLaren Vale,0400 505 043,Not Available,Not,Phil Christiansen,2010,8000,18.5 hectares,
Louis de Castella Wines,Heathcote,www.louisdecastellawines.com.au,68 Pink Cliffs Road, Heathcote, Vic 3523                        Heathcote,(03) 5433 3958,Not Available,W'ends 11-5,Louis de Castella,2004,300,0.51 hectares,
Lost Lake,Pemberton,www.lostlake.com.au,14591 Vasse Highway, Pemberton, WA 6260                        Pemberton            WA,(08) 9776 1251,(08) 9776 1919,7 days 10-4,Katie Masters,1990,4500,7.82 hectares,
Louee,Mudgee,www.louee.com.au,Cox's Creek Road, Rylstone, NSW 2849                        Mudgee            NSW,(02) 6379 0928,(02) 6379 0854,Mon-Sat 10-4, Sun & public hols 11-2,David Lowe, Jane Wilson (Contract),1998,4000,Not Available,
Loch-Lea Vineyard,Northern Tasmania,,PO Box 1144, Legana, Tas 7277                        Northern Tasmania            TAS,(03) 6330 1444,(03) 6330 2190,Not,Dr Richard Richardson (Consultant),1984,200,Not Available,
Long Yarn Wines,McLaren Vale,www.longyarnwines.com,90 Chalk Hill Road, McLaren Vale, SA 5171                        McLaren Vale            SA,(08) 8323 8623,(08) 8323 8694,7 days 10-5,Jess Hardy,2005,10 000,12 hectares,
Longleat Wines,Goulburn Valley,www.murchisonwines.com.au,105 Old Weir Road, Murchison, Vic 3610                        Goulburn Valley            VIC,(03) 5826 2294,(03) 5826 2510,W'ends and most public hols 10-5,Guido Vazzoler,1975,4000,8.1 hectares,
Lochmoore,Gippsland,,PO Box 430, Trafalgar, Vic 3824                        Gippsland            VIC,0402 216 622,Not Available,Not,Lyre Bird Hill, Narkoojee,1997,300,Not Available,
Loan Wines,Barossa Valley,www.loanwines.com.au,PO Box 106, Tanunda, SA 5352                        Barossa Valley            SA,(08) 8563 2612,(08) 8563 2978,Not,Richard Loan, Chris Ringland (Consultant),2001,1200,8.2 hectares,
Loch Luna,Riverland,,Riverland            SA,Not Available,Not Available,This business is no longer operating,Not Available,1999,NA,Not Available,
Maddens Rise,Yarra Valley,www.maddensrise.com,Cnr Maroondah Highway/Maddens Lane, Coldstream, Vic 3770                        Yarra Valley            VIC,(03) 9739 1977,(03) 8608 1115,Fri-Mon 11-5,Anthony Fikkers,1996,2000,22.5 hectares,
Macquarie Grove Vineyards,Western Plains Zone,,120 Eumungerie Road, Narromine, NSW 2821                        Western Plains Zone            NSW,(02) 6889 4968,(02) 6889 2500,Mon-Sat 10-5,Red Earth Estate (Ken Borchardt),2001,3000,Not Available,
Macquariedale Estate,Hunter Valley,www.macquariedale.com.au,170 Sweetwater Road, Rothbury, NSW 2335                        Hunter Valley            NSW,(02) 6574 7012,(02) 6574 7013,Fri-Mon, school   public hols 10-5,Ross McDonald,1993,4000,Not Available,
Manfred's Winery,Southern New South Wales Zone,,Southern New South Wales Zone            NSW,Not Available,Not Available,This business is no longer operating,Not Available,1984,NA,Not Available,
Mandurang Valley Wines,Bendigo,www.mandurangvalleywines.com.au,77 Fadersons Lane, Mandurang, Vic 3551                        Bendigo,(03) 5439 5367,(03) 5439 3850,W'ends and public hols 11-5,Wes Vine, Steve Vine,1995,4000,2.5 hectares,
Marcus Hill Vineyard,Geelong,www.marcushillvineyard.com.au,560 Banks Road, Marcus Hill, Vic 3222 (postal)                        Geelong            VIC,(03) 5251 3797,Not Available,Not,Darren Burke (Contract), Richard Harrison,2000,1000,3 hectares,
Mandoon Estate,Swan District,www.mandoonestate.com.au,10 Harris Road, Caversham, WA 6055                        Swan District            WA            6055,(08) 6279 0500,Not Available,Mon-Thurs 10-5, Fri 10-late, Sat 7.30-late, Sun 7.30-5,Ryan Sudano,2009,10 000,10 hectares,
Mardia Wines,Barossa Valley,,PO Box 277, Tanunda, SA 5352                        Barossa Valley            SA,(08) 8563 1520,(08) 8563 1697,Not,Marco Litterini,1987,200,Not Available,
Marko's Vineyard,Adelaide Hills,www.markosvineyard.com.au,PO Box 7518, Brisbane, Qld, 4169                        Adelaide Hills,0418 783 456,Not Available,At Ekhidna,Darryl Catlin, Matt Rechner,2014,21 000,41.5 hectares,
Mantons Creek Vineyard,Mornington Peninsula,,Mornington Peninsula            VIC,Not Available,Not Available,This business is no longer operating,Not Available,1990,NA,Not Available,
Attwoods Wines,Geelong,www.attwoodswines.com.au,45 Attwoods Road, Scotsburn, Vic 3352                        Geelong            VIC,0407 906 849,Not Available,Not,Troy Walsh,2010,650,2 hectares,
Atze's Corner Wines,Barossa Valley,www.atzescornerwines.com.au,Box 81, Nuriootpa, SA 5355                        Barossa Valley            SA            5355,0407 621 989,(08) 8562 1989,By appt,Contract, Andrew Kalleske,2005,2000,30 hectares,
Apthorpe Estate,Hunter Valley,,475 Lovedale Road, Lovedale, NSW 2321                        Hunter Valley            NSW,(02) 4930 9177,(02) 4930 9088,By appt,Mark Apthorpe,1996,NFP,Not Available,
Aphelion Wine,McLaren Vale,www.aphelionwine.com.au,18 St Andrews Terrace, Willunga, SA 5172                        McLaren Vale,0404 390 840,Not Available,Not,Rob Mack,2014,200,Not Available,
Atlas Wines,Clare Valley,www.atlaswines.com.au,PO Box 458, Clare, SA 5453            Clare            Clare Valley            SA            5453,0419 847 491,Not Available,Not,Adam Barton,2008,3000,8 hectares,
Logan Wines,Mudgee,www.loganwines.com.au,Castlereagh Highway, Apple Tree Flat, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6373 1333,(02) 6373 1390,7 days 10-5,Peter Logan,1997,40 000,Not Available,
Apsley Gorge Vineyard,East Coast Tasmania,www.apsleygorgevineyard.com.au,The Gulch, Bicheno, Tas 7215                        East Coast Tasmania            TAS,(03) 6375 1221,(03) 6375 1589,By appt,Brian Franklin,1988,2000,6 hectares,
Appellation Ballarat,Ballarat,www.appellationballarat.com,67 Pickfords Road, Coghills Creek, Vic 3364                        Ballarat,0408 059 454,Not Available,By appt,Owen Latta,2007,280,3.8 hectares,
Apricus Hill,Denmark,www.apricushill.com.au,550 McLeod Road, Denmark, WA 6333                        Denmark,0427 409 078,Not Available,Fri-Mon 11-5, 7 days school hols,James Kellie,1995,1000,8 hectares,
A.T. Richardson Wines,Great Western,www.atrichardsonwines.com,103 Hard Hill Road, Armstrong, Vic 3377                        Great Western            VIC            3377,0438 066 477,Not Available,Not,Adam Richardson,2005,2000,7 hectares,
Margan Family,Hunter Valley,www.margan.com.au,1238 Milbrodale Road, Broke, NSW 2330            Broke Hunter Valley  NSW  2330            Hunter Valley            NSW            2330,(02) 6579 1317,(02) 6579 1267,7 days 10-5,Andrew Margan,1997,30 000,98 hectares,
Maglieri of McLaren Vale,McLaren Vale,,GPO Box 753, Melbourne, Vic 3001                        McLaren Vale            SA,1300 651 650,Not Available,Not,Kate Hongell,1972,4000,10 hectares,
Majella,Coonawarra,www.majellawines.com.au,Lynn Road, Coonawarra, SA 5263                        Coonawarra            SA            5263,(08) 8736 3055,(08) 8736 3057,7 days 10?4.30,Bruce Gregory, Michael Marcus,1969,25 000,55 hectares,
Main and Cherry,Adelaide Hills,www.mainandcherry.com.au,Main Road, Cherry Gardens, SA 5157                        Adelaide Hills,0431 692 791,Not Available,By appt,Michael Sexton,2010,2500,4.5 hectares,
Mopoke Ridge Wines,Shoalhaven Coast,www.mopokeridge.com.au,45B Mopoke Close, Longreach via Nowra, NSW 2541                        Shoalhaven Coast            NSW,(02) 4422 0049,Not Available,Sep-Mar w'ends 11-5, or by appt,Bevan Wilson (Contract),1998,NA,Not Available,
Marchand and Burch,Great Southern,www.burchfamilywines.com.au,PO Box 180, North Fremantle,WA 5159            543 Miamup Road Cowaramup 6284            Great Southern            WA            6284,(08) 9336 9600,(08) 9336 9622,Not,Janice McDonald, Pascal Marchand,2007,1100,8.46 hectares,
Mopeta Wines,Southern Flinders Ranges,www.mopetawines.com.au,Box 31, Port Germein, SA 5495                        Southern Flinders Ranges            SA,(08) 8634 6031,(08) 8631 6096,Not,Paracombe Wines (Paul Drogemuller),1997,450,16 hectares,
Moss Brothers,Margaret River,www.mossbrothers.com.au,3857 Caves Road, Wilyabrup, WA 6280                        Margaret River            WA,(08) 9755 6270,(08) 9755 6298,7 days 105,Bernie Stanlake,1984,7000,9.6 hectares,
Mountain X Wine Co,Various,www.mountainx.com.au,6864 Great Alpine Road, Porepunkah, Vic 3740 (postal)                        Various            NSW,(02) 9492 4140,(02) 9492 4199,Not,Rhys Eather, Franco d'Anna (Contract),2006,150,Not Available,
Moothi Estate,Mudgee,www.moothiestate.com.au,85 Rocky Waterhole Road, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6372 2925,(02) 9868 6017,Fri-Mon 10-5,Michael Slater,1995,2000,17.5 hectares,
Mount Tamborine Vineyards   Winery,Granite Belt,www.mttamborinewinery.com,128 Long Road, Eagle Heights, Qld, 4271                        Granite Belt            QLD,(07) 5545 3506,(07) 5545 3068,7 days 10-4,Jim Barnes,1990,NA,17 hectares,
Mount Mary,Yarra Valley,www.mountmary.com.au,Coldstream West Road, Lilydale, Vic 3140                        Yarra Valley            VIC,(03) 9739 1761,(03) 9739 0137,Not,Sam Middleton,1971,4000,12 hectares,
Mount Markey,Gippsland,www.mtmarkeywinery.com.au,1346 Cassilis Road, Cassilis, Vic 3896                        Gippsland            VIC,(03) 5159 4328,(03) 5159 4599,Not,Howard Reddish,1991,NA,Not Available,
Mount Macedon Winery,Macedon Ranges,www.mountmacedonwinery.com.au,433 Bawden Road, Mount Macedon, Vic 3441                        Macedon Ranges            VIC,(03) 5427 2735,(03) 5427 1071,Mon-Fri 12-4, w'ends   public hols 11-5,Kilchurn Wines (David Cowburn),1989,4300,Not Available,
Mount Moliagul,Bendigo,www.mountmoliagulwines.com.au,Clay Gully Lane, Moliagul, Vic 3472                        Bendigo            VIC,(03) 9809 2113,Not Available,By appt 0427 221 641,Terry Flora,1991,100,Not Available,
Mount Majura Vineyard,Canberra District,www.mountmajura.com.au,88 Lime Kiln Road, Majura, ACT 2609                        Canberra District            ACT,(02) 6262 3070,(02) 6262 4288,Thurs-Mon 10-5,Dr Frank van de Loo,1988,4000,9.3 hectares,
Mount Burrumboot Estate,Heathcote,www.burrumboot.com,3332 Heathcote-Rochester Road, Colbinabbin, Vic 3559                        Heathcote            VIC,(03) 5432 9238,(03) 5432 9238,W'ends and public hols 11-5, Mon-Fri 11-5 by appt,Cathy Branson,1999,500,16.5 hectares,
Mount Anakie Wines,Geelong,,130 Staughton Vale Road, Anakie, Vic 3221                        Geelong            VIC,(03) 5284 1256,(03) 5284 1405,7 days 11-5,Otto Zambelli,1968,NA,Not Available,
Mount Alexander Winery,Bendigo,www.mawine.com.au,410 Harcourt Road, Sutton Grange, Vic 3448                        Bendigo            VIC            3448,(03) 5474 2567,Not Available,W'ends and public hols 10-5,Bill Blamires,2001,2000,7.4 hectares,
Alexandra Bridge Wines,Margaret River,www.alexandrabridgewines.com.au,PO Box 8385, South Perth, WA 6951                        Margaret River            WA,(08) 9368 4555,(08) 9368 4566,Not,Brian Fletcher,1999,1000,Not Available,
Albert River Wines,Queensland Zone,www.albertriverwines.com.au,869 Mundoolun Connection Road, Tamborine, Qld 4270                        Queensland Zone            QLD,(07) 5543 6622,(07) 5543 6627,7 days 10-4,John Heslop,1998,3000,3.6 hectares,
Altamont Wine Studio,Adelaide Hills,www.altamontwinestudio.com,49 Peacock's Road, Lenswood, SA 5240                        Adelaide Hills,(08) 8327 4188,Not Available,By appt,Brendon Keys,2012,2000,Not Available,
Alkoomi,Frankland River,www.alkoomiwines.com.au,Wingebellup Road, Frankland River, WA 6396                        Frankland River            WA            6396,(08) 9855 2229,(08) 9855 2284,7 days 10-5,Andrew Cherry,1971,52 000,106.16 hectares,
All Saints Estate,Rutherglen,www.allsaintswine.com.au,All Saints Road, Wahgunyah, Vic 3687                        Rutherglen            VIC            3687,1800 021 621,(02) 6035 2200,Mon-Sat 9?5.30, Sun 10-5.30,Nick Brown, Chloe Earl,1864,25 000,33.46 hectares,
Allegiance Wines,Various,www.allegiancewines.com.au,Scenic Court, Alstonville, NSW 2477                        Various,0434-561-718,Not Available,Not,Contract,2009,40 000,Not Available,
Axiom Wines,South Australia,www.axiomwines.com.au,15 George Street, Parkside, SA 5063 (postal)                        South Australia            SA,0409 579 708,Not Available,Not,Stephen Clarke,2004,2200,Not Available,
Anna's Vineyard,Southern Eyre Peninsula,www.annasvineyard.com,PO Box 158, Port Lincoln, SA 5606                        Southern Eyre Peninsula            SA,(08) 8621 2900,(08) 8621 2990,Not,David O'Leary, Simon Greenleaf,1997,250,0.6 hectares,
Morgan Simpson,McLaren Vale,www.morgansimpson.com.au,PO Box 39, Kensington Park, SA 5068                        McLaren Vale            SA,0417 843 118,(08) 8364 3645,Not,Richard Simpson,1998,1200,17.1 hectares,
Mount Appallan Vineyards,Queensland Zone,www.mtappallan.com.au,239 Mitchell Road, Biggenden, Qld 4621                        Queensland Zone            QLD,(07) 4127 1390,(07) 4127 1090,At Rosehill on the River, Tinana,Rod MacPherson, Syd Goodchild,1998,NA,4 hectares,
Mount Broke Wines,Hunter Valley,www.mtbrokewines.com.au,130 Adams Peak Road, Broke, NSW 2330                        Hunter Valley            NSW,(02) 6579 1314,(02) 6579 1314,Fri-Sun 10-5,Suzanne and Ian Little,1997,1000,8 hectares,
Mount Buninyong Winery,Ballarat,www.mountbuninyongwinery.com.au,210 Platts Road, Scotsburn, Vic 3352                        Ballarat            VIC,(03) 5341 8360,Not Available,7 days 11-6,Peter Armstrong, Sandra Armstrong, Robert Taylor,1993,NA,4 hectares,
Mount Beckworth,Ballarat,www.mountbeckworthwines.com.au,46 Fraser Street, Clunes, Vic 3370                        Ballarat            VIC,(03) 5343 4207,(03) 5343 4207,W'ends 11-5,Paul Lesock,1984,800,4 hectares,
Mount Ashby Estate,Southern Highlands,www.mountashby.com.au,128 Nowra Road, Moss Vale, NSW 2577                        Southern Highlands            NSW,(02) 4869 4792,(02) 4869 3575,Wed-Sun & public hols 11-5,High Range Vintners (Jonathan Holgate),1999,800,4 hectares,
Mount Panorama Winery,Central Ranges Zone,www.mountpanoramawines.com.au,117 Mountain Straight, Mount Panorama, Bathurst, NSW 2795                        Central Ranges Zone            NSW,(02) 6331 5368,Not Available,7 days 10.30-5,Desmond McMahon,1991,NA,Not Available,
Mosquito Hill Wines,Southern Fleurieu,www.mosquitohillwines.com.au,18 Trinity Street, College Park, SA 5069 (postal)                        Southern Fleurieu            SA,0411 661 149,(08) 8632 3954,Not,Glyn Jamieson,2004,1700,4.2 hectares,
Mount Avoca,Pyrenees,www.mountavoca.com,Moates Lane, Avoca, Vic 3467            Avoca, Vic 3467            Pyrenees            VIC            3467,(03) 5465 3282,(03) 5465 3544,7 days 10-5,Dominic Bosch,1970,10 000,23.46 hectares,
Andrew Garrett,McLaren Vale,,GPO Box 753, Melbourne, Vic 3001                        McLaren Vale            SA,1300 651 650,Not Available,Not,Charles Hargrave,1983,170 000,Not Available,
Anvers,Adelaide Hills,www.anvers.com.au,633 Razorback Road, Kangarilla, SA 5157            Kangarilla            Adelaide Hills            SA            5157,(08) 8374 1787,(08) 8323 9502,Not,Kym Milne MW,1998,10 000,24.5 hectares,
Anakie Ridge Vineyard,Geelong,,2290 Ballan Road, Anakie, Vic 3221                        Geelong            VIC,0409 418 175,(03) 5222 3157,W'ends 11-5,Ernesto Vellucci,1998,NFP,Not Available,
This page is corked...,Geelong,,2290 Ballan Road, Anakie, Vic 3221                        Geelong            VIC,0409 418 175,(03) 5222 3157,W'ends 11-5,Ernesto Vellucci,1998,NFP,Not Available,
Andrew Harris Vineyards,Mudgee,www.andrewharris.com.au,Sydney Road, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6373 1477,(02) 6373 1296,7 days 9-5,Lisa Bray,1991,65 000,Not Available,
Angas Vineyards,Langhorne Creek,,Langhorne Creek            SA,Not Available,Not Available,This business is no longer operating,Not Available,1997,NA,Not Available,
Andrew Seppelt Wines,Barossa Valley,www.andrewseppelt.com,PO Box 278, Greenock, SA 5360                        Barossa Valley            SA,(08) 8562 8373,(08) 8562 8414,By appt,Andrew Seppelt,2001,275,Not Available,
Anderson,Rutherglen,www.andersonwinery.com.au,1619 Chiltern Road, Rutherglen, Vic 3685                        Rutherglen            VIC,(02) 6032 8111,(02) 6032 7151,7 days 10-5,Howard and Christobelle Anderson,1992,2000,8.8 hectares,
Angas Plains Estate,Langhorne Creek,www.angasplainswines.com.au,317 Angas Plains Road, Langhorne Creek, SA 5255                        Langhorne Creek            SA            5255,(08) 8537 3159,(08) 8537 3353,7 days 11-5,Peter Douglas,1994,3000,15.2 hectares,
Andevine Wines,Hunter Valley,www.andevinewines.com.au,247 Wilderness Road, Rothbury, NSW, 2320                        Hunter Valley            NSW            2311,0427 948 880,Not Available,Fri-Mon 10-5,Andrew Leembruggen,2012,NFP,Not Available,
Morrisons Riverview Winery,Perricoota,www.morrisons.net.au,Lot 2, Merool Lane, Moama, NSW 2731                        Perricoota            NSW,(03) 5480 0126,(03) 5480 7144,7 days 10-5,John Ellis, Jen Pfeiffer,1996,1500,10 hectares,
Mortimers of Orange,Orange,www.mortimerswines.com.au,'Chestnut Garth', 786 Burrendong Way, Orange, NSW 2800                        Orange            NSW,(02) 6365 8689,(02) 6365 8689,W'ends 11-5,Simon Gilbert,1996,3600,6 hectares,
Morning Sun Vineyard,Mornington Peninsula,www.morningsunvineyard.com.au,337 Main Creek Road, Main Ridge, Vic 3928                        Mornington Peninsula            VIC,(03) 5989 6571,(03) 5989 6572,7 days 10-5,Michael Kyberd,1995,1500,5.96 hectares,
Morningside Vineyard,Southern Tasmania,www.morningsidevineyard.com.au,711 Middle Tea Tree Road, Tea Tree, Tas 7017                        Southern Tasmania            TAS,(03) 6268 1748,(03) 6268 1748,By appt,Peter Bosworth,1980,600,2.8 hectares,
Morris,Rutherglen,www.morriswines.com.au,Mia Mia Road, Rutherglen, Vic 3685            Rutherglen            Rutherglen            VIC            3685,(02) 6026 7303,(02) 6026 7445,Mon?Sat 9?5, Sun 10?5,David Morris,1859,100 000,96 hectares,
This page is corked...,Rutherglen,www.morriswines.com.au,Mia Mia Road, Rutherglen, Vic 3685            Rutherglen            Rutherglen            VIC            3685,(02) 6026 7303,(02) 6026 7445,Mon?Sat 9?5, Sun 10?5,David Morris,1859,100 000,96 hectares,
Mont Rouge Estate,Mornington Peninsula,www.montrougeestate.com.au,232 Red Hill Road, Red Hill, Vc 3937                        Mornington Peninsula,(03) 5931 0234,Not Available,Fri-Mon 11-5, 7 days during hols,Michael Kyberd,1989,400,3.23 hectares,
MoFro Wines,Perricoota,www.mofrowines.com.au,6 Dumfries Court, Moama, NSW 2731 (postal)                        Perricoota            NSW            2731,0408 993 182,Not Available,Not,Trent Eacott,2014,370,7 hectares,
MOJO Winemakers,South Australia,www.mojowine.com.au,99 Maud Street, Unley, SA 5061                        South Australia,(08) 8124 9020,Not Available,Not,Matt Talbot,2000,20 000,Not Available,
Mocandunda Wines,Clare Valley,www.mocandundavineyards.com.au,PO Box 75, Watervale, SA 5452                        Clare Valley,0423 670 946,Not Available,Not,Contract,1998,NA,Not Available,
Aramis Vineyards,McLaren Vale,www.aramisvineyards.com,411 Henley Beach Road, Brooklyn Park, SA 5032                        McLaren Vale            SA            5031,(08) 8352 2900,(08) 8352 2800,By appt,Renae Hirsch (red), Peter Leske (white),1998,12 000,26 hectares,
Arete Wines,Various,www.aretewines.com.au,1 Banyan Court, Greenwith, SA 5125                        Various            SA,0437 658 185,(08) 8289 8470,By appt,Richard Bate,2008,1000,Not Available,
Artwine,Various,www.artwine.com.au,72 Bird in Hand Road, Woodside, SA 5244            Woodside            Various            SA            5244,(08) 8389 9399,Not Available,7 days 11-5,Joanne Irvine, Mike Sykes,1997,6500,28 hectares,
Armchair Critic,Various,www.armchaircritic.com.au,68 Anzac Street, Chullora, NSW 2190 (postal)                        Various            NSW,0417 670 655,Not Available,Not,Corey Ryan,2009,5000,Not Available,
Arrivo,Adelaide Hills,www.arrivo.com.au,PO Box 151 Aldgate, SA 5154 (postal)                        Adelaide Hills            SA,(08) 8390 3907,(08) 8303 6621,Not,Peter Godden,1998,120,1 hectares,
Arlewood Estate,Margaret River,www.arlewood.com.au,Cnr Bussell Highway/Calgardup Road, Forest Grove, WA 6286                        Margaret River            WA,(08) 9757 6676,(08) 9757 6267,Thurs-Mon 11-5,Stuart Pym,1988,3500,6.2 hectares,
Armstrong Vineyards,Grampians,,2 Abbottshall Road, Hawthorn, SA 5062 (postal)                        Grampians            VIC,0419 815 735,Not Available,Not,Tony Royal,1989,1000,Not Available,
Argyle Forest Estate,Heathcote,www.argyleforestestate.com.au,101 Ormond Esplanade, Elwood, Vic 3184 (postal)                        Heathcote,(03) 9531 5370,Not Available,Not,Mark Matthews,1995,400,4 hectares,
Solitaire Estate,Adelaide Hills,www.solitairestate.com.au,PO Box 486, Echunga, SA 5153                        Adelaide Hills            SA,0432 787 041,Not Available,Not,Linda Domas,2007,2000,18.6 hectares,
Arimia Margaret River,Margaret River,www.arimia.com.au,242 Quininup Road, Yallingup, WA 6280                        Margaret River            WA,(08) 9755 2605,(08) 9287 2422,7 days 10-5,Mark Warren,1998,3685,5.9 hectares,
Mount Horrocks,Clare Valley,www.mounthorrocks.com,The Old Railway Station, Curling Street, Auburn, SA 5451                        Clare Valley            SA,(08) 8849 2243,(08) 8849 2265,W'ends and public hols 10?5,Stephanie Toole,1982,3500,9.4 hectares,
Mount Langi Ghiran Vineyards,Grampians,www.langi.com.au,80 Vine Road, Buangor, Vic 3375                        Grampians            VIC            3375,(03) 5354 3207,(03) 5354 3277,7 days 10-5,Ben Haines, Jessica Robertson,1963,60 000,86 hectares,
Mount Gisborne Wines,Macedon Ranges,www.mountgisbornewines.com.au,83 Waterson Road, Gisborne, Vic 3437                        Macedon Ranges            VIC,(03) 5428 2834,(03) 5428 2834,Wed-Sun 10-6,David Ell, Stuart Anderson (Consultant),1985,1300,3 hectares,
Mount Duneed,Geelong,,Feehan’s Road, Mount Duneed, Vic 3216                        Geelong            VIC,(03) 5264 1281,(03) 5264 1281,Public hols & w'ends 11–5, or by appt,Ken Campbell, John Darling,1970,NA,Not Available,
Mount Tully Vines,Granite Belt,www.mtvines.com.au,PO Box 1461, Toombul, Qld 4061                        Granite Belt            QLD,0419 709 416,(07) 3266 9384,Not,Jim Barnes (Contract),1995,NA,4.2 hectares,
Mount Eyre Vineyards,Hunter Valley,www.mounteyre.com,173 Gillards Road, Pokolbin, NSW 2320                        Hunter Valley            NSW,0438 683 973,(02) 6842 4513,At Garden Cellars, Hunter Valley Gardens,Andrew Spinaze, Mark Richardson, Michael McManus,1970,1000,45.5 hectares,
Mount Trio Vineyard,Porongurup,www.mounttriowines.com.au,2534 Porongurup Road, Mount Barker WA 6324                        Porongurup            WA,(08) 9853 1136,(08) 9853 1120,By appt,Gavin Berry, Andrew Vesey, Caitlin Gazey,1989,4000,8.8 hectares,
Mount Torrens Vineyards,Adelaide Hills,www.solstice.com.au,PO Box 1679, Mt Torrens, SA 5244                        Adelaide Hills            SA,0418 822 509,Not Available,Not,Torbreck (David Powell, Craig Isbel),1996,1000,Not Available,
Mount Towrong,Macedon Ranges,www.mounttowrong.com.au,10 Taylors Road, Mount Macedon, Vic 3441                        Macedon Ranges            VIC,0419 542 630,(03) 5426 3050,W'ends and public hols 10-5,Laura Sparrow,1996,500,2 hectares,
Mountilford,Mudgee,,Mount Vincent Road, Ilford, NSW 2850                        Mudgee            NSW,(02) 6358 8544,(02) 6358 8544,7 days 10–4,Contract,1985,NA,Not Available,
Mountview Wines,Granite Belt,www.mountviewwines.com.au,Mount Stirling Road, Glen Aplin, Qld 4381                        Granite Belt            QLD,(07) 4683 4316,(07) 4683 4111,Fri-Sun 9.30-4.30, 7 days during school   public hols,Jim Barnes,1990,NA,Not Available,
Mount View Estate,Hunter Valley,www.mtviewestate.com.au,Mount View Road, Mount View, NSW 2325            Mount View            Hunter Valley            NSW            2325,(02) 4990 3307,(02) 4991 1289,Mon-Sat 10-5, Sun 10-4,Scott Stephens,1971,4000,16 hectares,
Mount William Winery,Macedon Ranges,www.mtwilliamwinery.com.au,890 Mount William Road, Tantaraboo, Vic 3764                        Macedon Ranges            VIC,(03) 5429 1595,Not Available,W'ends11-5,David Cowburn (Contract), Murray Cousins,1985,1500,7.5 hectares,
Mountadam,Eden Valley,www.mountadam.com.au,High Eden Road, Eden Valley, SA 5235                        Eden Valley            SA            5235,(08) 8564 1900,(08) 8564 1999,By appt,Helen McCarthy,1972,15 000,80 hectares,
Moombaki Wines,Denmark,www.moombaki.com,341 Parker Road, Kentdale via Denmark, WA 6333                        Denmark            WA,(08) 9840 8006,(08) 9840 8006,7 days 11-5,Harewood Estate (James Kellie),1997,600,2.4 hectares,
Mountford,Pemberton,www.mountfordwines.com.au,Bamess Road, West Pemberton, WA 6260                        Pemberton            WA,(08) 9776 1345,(08) 9776 1345,7 days 10-4,Andrew Mountford, Saxon Mountford,1987,3000,6 hectares,
Moonbark Estate Vineyard,Pyrenees,www.moonbark.com.au,Lot 11, Moonambel-Natte Yallock Road, Moonambel, Vic 3478 (postal)            Nunawading            Pyrenees            VIC            3131,0439 952 263,(03) 9873 7876,Not,Contract,1998,500,1.75 hectares,
Momentum Wines,Margaret River,www.winemomentum.com,8 Canal Rocks Road, Yallingup, WA 6282                        Margaret River            WA,(08) 9755 2028,(08) 9755 2101,W'ends and hols 10-5,Egidijus Rusilas, Todd Payne,1978,1000,3.5 hectares,
Monahan Estate,Hunter Valley,www.monahanestate.com.au,319 Wilderness Road, Rothbury, NSW 2320                        Hunter Valley            NSW,(02) 4930 9070,(02) 4930 7679,Wed-Sun 10-5,Tower Estate (Scott Stephens), McLean Winemaking,1997,1500,7.1 hectares,
Montara,Grampians,www.montarawines.com.au,76 Chalambar Road, Ararat, Vic 3377                        Grampians            VIC            3377,(03) 5352 3868,(03) 5352 4968,Fri-Sun 11-4,Simon Fennell,1970,3000,19.2 hectares,
Molly's Cradle,Hunter Valley,www.mollyscradle.com.au,17/1 Jubilee Avenue, Warriewood, NSW 2102            Warriewood            Hunter Valley            NSW            2102,(02) 9979 1212,(02) 9979 1472,By appt,Various Contract,2002,20 000,9 hectares,
Monbulk Winery,Yarra Valley,www.monbulkwinery.com,155 Macclesfield Road, Monbulk, Vic 3793                        Yarra Valley            VIC,(03) 9756 6965,(03) 9756 6965,Wed-Sun   public hols 12?5,Marion Berry, John Berry,1984,300,2 hectares,
Molly Morgan Vineyard,Hunter Valley,www.mollymorgan.com,496 Talga Road, Rothbury, NSW 2320                        Hunter Valley            NSW,(02) 4930 7695,(02) 4006 3004,Not,Rhys Eather,1963,2000,7.65 hectares,
Monkey Rock Winery,Denmark,www.monkeyrockwinery.com.au,Wentworth Road, Denmark, WA 6333                        Denmark            WA,(08) 9840 9353,(08) 9841 6727,W'ends   hols 11-4,Angelo Scifoni, Hermann Fehr,2003,600,2 hectares,
